vedio_id,title,video_link,description,sequence,course_id,course_module_ref_id
11,"Block-based Programming : SERIES 01 : C2 : Multi-actor Chasing game, Control Block, Event Block",https://www.youtube.com/embed/T6iHOgAMTeA?si=V9kvec1cM2fockbj,"Create a Multi-Actor Chasing Game in Scratch!  Are you ready to build your own exciting chasing game in Scratch? In this step-by-step tutorial, we’ll show you how to create a multi-actor chasing game where characters interact, chase, and bring your game to life! What you'll learn in this video: How to use Event Blocks to trigger actions. Master the power of Looks Blocks to bring your characters to life. Add multiple characters for a fun and engaging gameplay experience. Easy-to-follow steps for coding animations and movements. Whether you're a beginner or an experienced Scratch coder, this video is packed with tips to enhance your skills and make your game stand out. Let’s make your game awesome together! ",1,ee9a290caa544f9ebb8d624aad8dc822,ee69ed073da64a1d0c1bfc75f8b38f2d
12,Block-based Programming : SERIES 01 : C1 : Introduction To MIT Scratch,https://www.youtube.com/embed/Ezi8Yn37UUI?si=XI7MNdcjJrMZGGga,"This video takes us over an overview of the following topics : 1. Programming 2. Requirement Of Programming 3. Programming Becoming A Necessary Skill For Upcoming Generation 4. Text-Based Programming 5. Block-Based Programming 6. Difference between Text and Block Based Programming 7. Block-Based Programming Being The Best Choice For Kids Learning 8. Introduction to Block-based Programming using Scratch by MIT",2,ee9a290caa544f9ebb8d624aad8dc822,8b6c6814a3c7b80d8c1f8a84dbd29b5d
13,"Arduino & Automation : Series 01 : C1 : Arduino UNO Overview & LED - Concepts, Connections & Coding",https://www.youtube.com/embed/Kxa_IxwI1ZU?si=XeKbVlNdswslHWVW,"This tutorial video demonstrates how to interface an LED with an Arduino, guiding you through the hardware setup and basic programming. Here, learners would learn about the Arduino Borad, how to connect the LED to the correct Arduino pins and use the Arduino IDE to write code that automates its behavior. The video covers simple task of turning the LED on/off for a certain duration.",1,e0a1e29394cb457981591a6caf489917,6d9d05ca5b056c58b9e5902e890df85e
14,"Arduino & Automation : Series 01 : C2 : Arduino UNO & LCD (16x2) - Concepts, Connections & Coding",https://www.youtube.com/embed/U700gNuV8y4?si=4aEKhrWz6qNFiiPC,"In this tutorial video, learners are introduced to the basics of interfacing an LCD (Liquid Crystal Display) with an Arduino. The video demonstrates how to connect the LCD to the Arduino and install the necessary libraries. It walks through the process of writing a program that allows a word or message to be displayed on the LCD screen. This tutorial is designed for beginners looking to add visual output to their Arduino projects.",2,e0a1e29394cb457981591a6caf489917,845cb1b84f2c915c1f928c6d3beff0cd
15,"Arduino & Automation : Series 01 : C3 : Arduino & Ultrasonic Sensor - Concepts, Connections & Coding",https://www.youtube.com/embed/I7bLXJ2_fp4?si=9VDg48dKC3JG_UcM,"In this tutorial video, learners are introduced to ultrasonic sensors and how to integrate them with an Arduino. The video demonstrates the setup and programming required to detect obstacles using the sensor. An LED is used as an indicator that glows when an object comes within 50 cm of the sensor. Viewers are guided step-by-step through writing the program that automates this response, making it ideal for beginners exploring distance sensing and obstacle detection in Arduino projects.",3,e0a1e29394cb457981591a6caf489917,d0b7b57d45d5081a0cd54267b4a2d416
16,Arduino & Automation : Series 01 : C4 : Introduction to For Loop,https://www.youtube.com/embed/hVAu7V3Jp0o?si=viQa6HVEZc3qdaFE,"In this video, we explore the basics of the for loop in Arduino programming! Learn how to use this powerful loop to control repetitive tasks in your automation projects. From controlling LEDs to managing sensors, the for loop is essential for creating efficient, structured code. Perfect for beginners diving into Arduino automation—let’s get coding!",4,e0a1e29394cb457981591a6caf489917,b8f43a19a8d8d813bb23ecf5360e68d7
17,3D Designing & Printing : SERIES 01 : C1 : Introduction & Overview,https://www.youtube.com/embed/STsh8AFeRH0?si=H69i8pMhHLpoANxg,"In this episode, we cover: Introduction to 3D Printers : 1. Overview of different types of 3D printers and their applications. 2. Basic components of a 3D printer and how they work. 3. Step-by-Step Guide to 3D Printing Step 1: Designing the Model – Using software to create or download 3D designs. Step 2: Preparing the Model – Converting the design into a printable format (STL file). Step 3: Slicing the Model – Using slicing software to set up layer-by-layer printing instructions. Step 4: Setting Up the Printer – Calibrating, loading filament, and adjusting settings. Step 5: Printing the Model – Starting the print and monitoring progress. Step 6: Post-Processing – Cleaning, sanding, and finalizing your 3D printed object. Practical Tips : Key pointers for avoiding common 3D printing issues. Maintenance tips for optimal printer performance. Stay tuned for more hands-on tutorials and deeper dives into each step!",1,c6a368076e6f4a8ca886f4d34bb2e1da,79c6c48d6b1d5b597f93db5e97f9a54c
18,Drone Technology : SERIES 01: C1 : Basics of Drone Controlling and physics behind the drone,https://www.youtube.com/embed/3Q6Jr1f-lAg?si=ZnKVxfcqCL3MpZQr,"Welcome to our in-depth exploration of drone technology! In this video, we break down how drones work and what makes them such incredible machines. We’ll dive into the key components of drone technology, including the flight controller, camera, and sensors, and explain how they all work together for smooth and stable flight. We’ll also take a closer look at how you control a drone, including the crucial movements: yaw, roll, and pitch. Whether you're looking to understand how a drone turns, tilts, or shifts, we’ll explain how each movement impacts flight and how to master them as a pilot.",1,7ee520e1d25546e796b11285194cf054,a1c81b726ee522ae78f68d431fbe9b95
19,Python Programming : Series 01 : C1 : Introduction to Python & Basic Coding,https://www.youtube.com/embed/mNSIFJYdpxI?si=yjwqNWs20Jbo4_7d,"This session explains the brief history of Python, its Real-life Implementations and Benefits . Development of the first Python Program and Introduction to general syntaxes & implementation of “print” statement.",1,22dacb7ea0344f0b9a27aa4edf007899,9f1d573013dc7082325df78b506efba7
20,Python Programming : Series 01 : C2 : Introduction to Data Types,https://www.youtube.com/embed/-1GkubH8-EQ?si=IvVuGX14fu4CacW4,"The main focus of the session will be on Data types in Python and brief demonstrations with examples.",2,22dacb7ea0344f0b9a27aa4edf007899,331f9f5ee17c1773b980c3f033586ff3
21,Python Programming : Series 01 : C3 : Introduction to Variables with Examples,https://www.youtube.com/embed/eQGhj303l5c?si=GGq-rymvvOh8L4-u,"The main focus of the session will be on introduction & applications of Variables. The main objective of the session are :  Proper declaration of the Variable 1. Storing Data 2. Returning Variable value on Screen 3. Handling multiple variables  4. Updating the value of a Variable time to time.",3,22dacb7ea0344f0b9a27aa4edf007899,d5c1be6ff65924b3a7fc8b56001cdd57
22,Python Programming : Series 01 : C4 : List in Python - Data Structures,https://www.youtube.com/embed/5mKNpIJibTU?si=INIYVi5Q9OCpyPQZ,"In this session, the students will mainly be learning to work on :  1. Creating lists 2. Accessing list items 3. Adding and removing items from lists & 4. Displaying its contents. Learners will be able to understand what lists are and its different types.",4,22dacb7ea0344f0b9a27aa4edf007899,9db4ab56c1db9d9e8d21872b399ac68b
23,Python Programming : Series 01 : C5 : Tuples in Python - Data Structures,https://www.youtube.com/embed/5Rm9KXtqsWI?si=HQJnbvSJ7HzHmOaq,"In this session, the students will mainly be learning to work on : Creating a Tuple & displaying it , Adding or Deleting a Tuple Item , Calculating a Tuple length and Different types of Tuple.",5,22dacb7ea0344f0b9a27aa4edf007899,cf2ea573fa0cd2be2788bc99e9022cde
24,Python Programming : Series 01 : C6 : Dictionary in Python,https://www.youtube.com/embed/J0iXvl7Qx4E?si=9eMbLVOJqZNL48A5,"Learn how to create, access, and manipulate key-value pairs for storing and organizing data efficiently. This essential data structure is perfect for beginners who want to understand how Python handles more complex data types.  Join us and unlock the power of dictionaries in your Python programming journey!",6,22dacb7ea0344f0b9a27aa4edf007899,8f2ca5b8e694a2d6b431db7eb45a7797
25,Python Programming : Series 01 : C7 : Class in Python,https://www.youtube.com/embed/D8fiLDrux9M?si=36I5NTtoIhAwAH4j,"In this video, we introduce classes in Python and explore the basics of object-oriented programming (OOP). Learn how to define classes, create objects, and understand the concept of attributes and methods. This lesson is essential for beginners aiming to build a strong foundation in Python and advance to more complex programming concepts. Start mastering OOP with Python today!",7,22dacb7ea0344f0b9a27aa4edf007899,dfb9876632b46c4b9c5d11f1f80ad240
26,Python Programming : Series 01 : C8 : Functions in Python,https://www.youtube.com/embed/qS2ti8GgJZI?si=PueAH14WzAqOur7a,"In this video, we delve into functions in Python and their importance in writing clean, reusable code. Learn how to define functions, pass arguments, and return values to enhance your programming efficiency. Perfect for beginners looking to strengthen their coding skills and make their Python programs more organized and modular. Let’s explore the power of functions together!",8,22dacb7ea0344f0b9a27aa4edf007899,b52a8b1072569d3853a4be5059cb5ea1
27,Python Programming : Series 01 : C9 : Conditionals Statements in Python,https://www.youtube.com/embed/aT5NZ5XFWiQ?si=6xKzMJNobuF5mnt4,"In this video, we explore conditional statements in Python, including if, else, and elif structures. Learn how to make your programs make decisions and respond to different conditions effectively. This essential lesson is perfect for beginners who want to build logic-driven programs and understand the flow of control in Python. Dive in and start mastering conditional statements today!",9,22dacb7ea0344f0b9a27aa4edf007899,265aff31d03d9a550adf28d0b6352127
28,"Python Programming : Series 01 : C10 : Loops in Python, For & While loop",https://www.youtube.com/embed/KFMndzQrAX8?si=SGJJx3KpAvCJU3em,"In this video we will explore the two main types of loops in Python: for and while loops. Learn how to iterate over sequences and repeat tasks efficiently, reducing redundant code. Let's do Coding and explore the power of loops in Python!",10,22dacb7ea0344f0b9a27aa4edf007899,33c4d19b1ca4cd542f20763cc44d539b
